assets/images/icons/ui_gym.png;Тренажерный зал;assets/images/pictures/pic_gym.jpg;Полностью оборудованный зал для занятий спортом и физической активности.;-1.977;0.5;0.074
assets/images/icons/ui_lounge.png;Зона отдыха у бассейна;assets/images/pictures/pic_longue.jpg;Бассейн с уютной лаунж-зоной, идеально подходящей для отдыха и встреч.;-1.518;0.5;0.076
assets/images/icons/ui_parking.png;Парковка;assets/images/pictures/pic_parking.jpg;Безопасная и удобная парковка с удобным въездом и выездом.;-0.921;0.5;-1.016
assets/images/icons/ui_pool.png;Бассейн;assets/images/pictures/pic_longue.jpg;Спокойные бирюзовые воды, защищенные коралловым рифом, создают безопасную и уютную атмосферу.;-0.325;0.5;-0.036
assets/images/icons/ui_playground.png;Детская площадка;assets/images/pictures/pic_playground.jpg;Безопасная и увлекательная игровая зона с разнообразным оборудованием для детей.;0.01;0.5;0.866
assets/images/icons/ui_gym.png;Уличные тренажёры;assets/images/pictures/pic_gym.jpg;Открытая зона фитнеса с оборудованием для тренировок на свежем воздухе.;-1.812;0.5;0.469
assets/images/icons/ui_playground.png;Зона релаксации;assets/images/pictures/pic_longue.jpg;Уютное место на открытом воздухе, созданное для отдыха.;-1.731;0.5;0.801
assets/images/icons/ui_playground.png;Площадка для волейбола;assets/images/pictures/pic_longue.jpg;Специальная площадка для игры в волейбол на свежем воздухе.;-1.088;0.5;0.863
assets/images/icons/ui_walkway.png;Пешеходная зона;assets/images/pictures/pic_playground.jpg;Живописные дорожки для прогулок среди природы.;-0.653;0.5;1.122
assets/images/icons/ui_playground.png;Каминная зона;assets/images/pictures/pic_longue.jpg;Место для встреч у камина, идеально для тёплых и уютных вечеров.;-0.483;0.5;0.771
assets/images/icons/ui_walkway.png;Амфитеатр;assets/images/pictures/pic_longue.jpg;Открытая площадка с сиденьями, идеально подходит для мероприятий и выступлений.;-1.085;0.5;-0.009
assets/images/icons/ui_walkway.png;Пешеходная зона с лавочками;assets/images/pictures/pic_playground.jpg;Прогулочная дорожка с удобными скамейками для отдыха.;-0.819;0.5;-0.31
assets/images/icons/ui_reception.png;Бар и лобби;assets/images/pictures/pic_longue.jpg;Гостеприимное пространство с баром и зоной отдыха для общения и релаксации.;-0.519;0.5;-0.66
